modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
Realme Buds Air Pro,Intra Auricular,360,8.73,8.75,8.3,6,Hastes,8.5,Sim,IPX4,https://youtu.be/WWeqskuGD38,https://amzn.to/3iJqCoc,N/A,8.3,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Tronsmart Apollo Air,Intra Auricular,200,8.72,8.7,8.3,5,Hastes,8.7,Não,IP54,https://youtu.be/g4QjPrq8JdM,https://amzn.to/2WTYK98,N/A,8.3,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Mifo S,Intra Auricular,690,8.72,8.74,9.1,6,Cápsulas,9,Sim,IPX7,https://youtu.be/VcpJHRt5RZY,https://amzn.to/3P9aJGA,https://s.click.aliexpress.com/e/_DChEiE3,8.8,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
1MORE ComfoBuds Mini,Intra Auricular,430,8.72,8.74,9.1,6,Cápsulas,8.3,Não,IPX5,https://youtu.be/0Khv0OUNY5M,https://amzn.to/3wkzfLN,https://s.click.aliexpress.com/e/_DEuvxSb,8.3,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
SoundPeats Life,Intra Auricular,150,8.72,8.74,9,5,Hastes,8.4,Sim,N/A,https://youtu.be/Woux4TJ4a7k,https://amzn.to/3CXKRIK,https://s.click.aliexpress.com/e/_DEu79YX,8.9,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Moondrop Nekocake,Intra Auricular,220,8.72,8.74,8.75,4,Hastes,8.9,Sim,N/A,https://youtu.be/bhRWg9EZM0I,https://amzn.to/41PPobi,https://s.click.aliexpress.com/e/_DkiLhyr,N/A,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
QCY T13 ANC,Intra Auricular,120,8.72,8.74,8.75,7,Hastes,8.75,Sim,IPX5,https://youtu.be/rElGXvxll_U,https://amzn.to/3yMwRiM,https://s.click.aliexpress.com/e/_DBz8YbZ,8.75,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Baseus Storm 1,Intra Auricular,400,8.72,8.74,8.9,5,Hastes,8.8,Sim,N/A,https://youtu.be/BkwlRx4ZkKs,https://amzn.to/3T3dYAI,https://s.click.aliexpress.com/e/_DdBUWVH,8.7,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
SoundPeats Air 3 Pro,Intra Auricular,230,8.72,8.74,8.5,6,Hastes,8.7,Sim,N/A,https://youtu.be/1ptH5U4Zbfs,https://amzn.to/3AIwnMu,https://s.click.aliexpress.com/e/_DD1O3cX,8.3,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Haylou X1 Pro,Intra Auricular,230,8.72,8.74,8.3,6,Hastes,8.65,Sim,N/A,https://youtu.be/-HRc1N8fIzk,https://amzn.to/3TYEmwy,https://s.click.aliexpress.com/e/_Deimq8x,8.5,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Nuarl N10 Plus,Intra Auricular,N/A,8.72,8.74,8,7,Cápsulas,8.9,Sim,IPX4,https://youtu.be/IoYH1qG4mec,N/A,https://nuarl.com/,8.65,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
Xiaomi Redmi Buds 4 Pro,Intra Auricular,240,8.72,8.73,9.1,9,Hastes,8.9,Não,IP54,https://youtu.be/HNzKTUNN1dw,https://amzn.to/3zHy7Ub,https://s.click.aliexpress.com/e/_DEeh6mn,8.8,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
1MORE Comfobuds Pro,Intra Auricular,455,8.72,8.73,8.8,8,Hastes,8.5,Não,IPX4,https://youtu.be/WBARlBKSiCM,https://amzn.to/3BGlDuX,https://s.click.aliexpress.com/e/_DmL2cFv,8.6,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Baseus Bowie M2,Intra Auricular,230,8.72,8.73,8.75,5,Hastes,8.5,Sim,N/A,https://youtu.be/FzFsgqvikK8,https://amzn.to/3rpBtbb,https://s.click.aliexpress.com/e/_DDMWWVl,8.4,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Baseus Bowie M2s,Intra Auricular,160,8.72,8.7,8.8,7,Hastes,9,Sim,N/A,https://youtu.be/3elWZzR2VHQ,https://amzn.to/3QCPBd4,https://s.click.aliexpress.com/e/_DdP4Sxh,8.75,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
Baseus SIMU S2,Intra Auricular,340,8.72,8.7,8.75,6,Hastes,8.7,Não,IPX4,https://youtu.be/927JdWcirgA,https://amzn.to/3BrD9Eb,https://s.click.aliexpress.com/e/_Dn0ebYL,8.4,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Baseus SIMU S1,Intra Auricular,210,8.72,8.7,8.7,5,Hastes,8.5,Não,IP54,https://youtu.be/f8KazRhDN7o,https://amzn.to/3Dmlgaj,https://s.click.aliexpress.com/e/_DBQILt1,8.3,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Baseus SIMU S1 Pro,Intra Auricular,240,8.72,8.7,8.7,5,Hastes,8.5,Não,IP54,https://youtu.be/f8KazRhDN7o,https://amzn.to/3mCTks4,https://s.click.aliexpress.com/e/_DBQILt1,8.3,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Blitzwolf BW-FYE11,Intra Auricular,360,8.72,8.7,8.7,6.5,Hastes,8.5,Não,IPX4,https://youtu.be/XljhdiuBX2k,https://amzn.to/3mFdsd5,N/A,8.3,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tronsmart Onyx Apex,Intra Auricular,250,8.72,8.65,8.5,5,Hastes,8.5,Não,IP45,https://youtu.be/gEBq-G_N0bg,https://amzn.to/3AoVvUW,N/A,8,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
QCY-HT03,Intra Auricular,140,8.72,8.6,8.8,6,Hastes,8,Sim,N/A,https://youtu.be/1cx1_Ls58V8,https://amzn.to/3DsRDnT,https://s.click.aliexpress.com/e/_Dd3MkQX,8,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
